Query;PT;EN;ES
last30;Últimos 30 dias;Last 30 days;Los últimos 30 días
customDate;Data customizada;Custom date;Fecha personalizada
category;Categoria;Category;Categoría
name;Nome (Tipo);Name (Type);Nombre (Tipo)
dataId;Data (ID);Date (ID);Fecha (identificación)
noView;Não Visualizado;Not Viewed;No visto
view;Visualizado;Visualized;Visualizado
solved;Resolvido;Solved;Resuelto
trash;Descartado;Discarded;Descartado
loadMore;Carregar mais;Load more;Carga más
